Abella, ['abelnā']
Caelia, ['kailia']
Catō, ['katō']
Cerēs, ['kerēs']
Diāna, ['deiwā']
Diēspiter, ['djous patēr']
Diiovis, ['djowes']
Dijovis, ['djowes']
Diovis, ['djowes']
Dīāna, ['deiwā']
Dīvāna, ['deiwā']
Faleriī, ['Falizjōi']
Iuppiter, ['djous patēr']
Lūcius, ['Loukjos']
Mārs, ['Māwortis']
Māvors, ['Māwortis']
Neptūnus, ['neptūnos']
Nerō, ['nēr']
Quiētus, ['kʷjētos']
Tībur, ['teiba']
Venus, ['wenos']
ab, ['ap']
abdūcō, ['abdoukō']
abiēs, ['abjets']
abs, ['aps']
accipiter, ['akupetros']
aceō, ['akēō']
acus_1, ['akus']
acus_2, ['akos']
ad, ['ad']
adeps, ['adlepa']
ador, ['ados', 'adōs']
advertō, ['adwertō']
aedis, ['aiðes']
aedīlis, ['aiðīlis']
aeger, ['aigros']
aemulus, ['aimelos']
aequus, ['aikʷos', 'aikwos']
aes, ['aos', 'ajos']
aestās, ['aissāts']
aestus, ['aissus']
aetās, ['aiwotāts']
aevitās, ['aiwotāts']
aevum, ['aiwom']
aēnus, ['aeznos', 'ajes-nos']
affectō, ['adfaktō']
afficiō, ['adfakjō']
ager, ['agros']
agilis, ['agelis']
agilitās, ['agelitāts']
agnus, ['agʷnos']
agō, ['agō']
aiō, ['agjō']
albus, ['alβos']
aliorsum, ['aljoworssom']
alius, ['aljos']
alnus, ['alznos']
alō, ['alō']
alumnus, ['alomanos']
alvus, ['aulos']
amor_1, ['amōs']
amor_2, ['amāor']
amosio, ['amosjo']
amō, ['amāō']
amtruō, ['amβidrewō']
an, ['an']
anas, ['anats']
ancīle, ['amβikaidslis']
anculus, ['amβikʷolos']
angō, ['anɣō']
animus, ['anamos']
annōna, ['atnosnā']
annus, ['atnos']
antecessor, ['antikeztōr']
antenna, ['antitempnā']
antīquus, ['antīkʷos']
aper, ['apros']
apō, ['apō']
aptus, ['aptos']
aqua, ['akʷā']
arbor, ['arðōs']
arceō, ['arkeō']
arduus, ['arðwos']
argentum, ['argentom']
arō, ['araō']
ars, ['artis']
auceps, ['awikaps']
audeō, ['awidēō']
audiō, ['awizdjō']
augeō, ['augeō']
aurōra, ['auzōs']
aurum, ['auzom']
aut, ['auti']
aveō, ['awēō']
avēns, ['awents']
avidus, ['awiðos']
avis, ['awis']
avus, ['awos']
axis, ['aksis']
axō, ['aksāō']
ācer, ['akris']
ālum, ['ālom']
ānser, ['hāns']
āra, ['āzā']
ārdeō, ['āzidēō']
ārea, ['āzeā', 'āreā']
āreā, ['āzeā', 'āreā']
āreō, ['āzēō']
āriditās, ['āzidetāts']
āridus, ['āzidos']
āter, ['ātros']
barba, ['farβā']
barbātus, ['farβātos']
benefaciō, ['dwenedfakjō']
benefactus, ['dwenedfaktos']
benignus, ['dwenedgenos']
beō, ['dweāō']
bibō, ['pibō']
bonus, ['dwenos']
bōs, ['gʷōs']
brevis, ['breɣʷis']
brūtus, ['gʷrūtos']
cadō, ['kadō']
