REFLEX	ETYMA	LEMMA	POS [OLD]	INFLECTION CLASS [OLD]	BASE TAGS [OLD]	REFLEX INFLECTED	ETYMA INFLECTED	INFLECTED TAGS [OLD]	FL2 [[OLD]]	IRREGULARITIES	CUT	ADDED	NOTES	SOURCE [NOTES]
ab	['ap']	AB	Preposition											
abdu:co:	['abdouko:']	ABDUCO	Verb	3	1-S-Pr-Act-Ind	abdu:cit	['abdouketi']	3-S-Pr-Act-Ind	V3					
abie:s	['abjets']	ABIES	Noun	3	Nm-F-S	abietis	['abjetes']	Gn-F-S	V3					
abs	['aps']	AB	Preposition											
accipiter	['akupetris']	ACCIPITER	Noun	3	Nm-M-S	accipitris	['akupetres']	Gn-M-S	G3	ASSOCIATION			[Association] Apparently *acip- > *accip- by analogy with accipere.	
aceo:	['ake:jo:']	ACEO	Verb	2	1-S-Pr-Act-Ind	acet	['ake:jeti']	3-S-Pr-Act-Ind	V3					
a:cer	['a:kris']		Adjective	3	Nm-M-S-Ps	a:cris	['a:kres']	Gn-M-S-Ps	G3		TRUE	TRUE		
acerbus	['akriðos']	ACERBUS	Adjective	2	Nm-M-S-Ps	acerbi:	['akriði:']	Gn-M-S-Ps	G2			TRUE		
acus_1	['akus']	ACUS1	Noun	4	Nm-F-S	acu:s	['akuos']	Gn-F-S	G4					
acus_2	['akos']	ACUS2	Noun	3	Nm-N-S	aceris	['akezes']	Gn-N-S	G3					
ad	['ad']	AD	Preposition											
adeps	['adlepa']										TRUE		*ade:pa: is secure for Umbrian but its connection to the Latin consonant stem adeps, adipis is unclear.	
ador	['ados' 'ado:s']	ADOR	Noun	3	Nm-N-S	adoris	['adoses' 'ado:ses']	Gn-N-S	G3	PARADIGM LEVELING			[Paradigm Leveling] The reason Wiktionary gives two versions is because there is some doubt about the original form. Probably it was the collective ado:s. Both quantities are attested in the gen. (adoris, ado:ris).	
adverto:	['adwerto:']	ADVERTO	Verb	3	1-S-Pr-Act-Ind	advertit	['adwerteti']	3-S-Pr-Act-Ind	V3					
aedis	['aiðes']	AEDIS	Noun	3	Nm-F-S	aedis	['aiðes']	Gn-F-S	G3				There is also a nom. sg. aede:s.	
aedi:lis	['aiði:lis']	AEDILIS	Noun	3	Nm-M-S	aedi:lis	['aiði:les']	Gn-M-S	G3					
